diseases|sub-category|reference|link
Abdominal Aortic Aneurysm — see Aortic Aneurysm|||https://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_aortic_aneurysm.htm
Acanthamoeba Infection|||https://www.cdc.gov/parasites/acanthamoeba/
ACE (Adverse Childhood Experiences)|||https://www.cdc.gov/nccdphp/ace/
Acinetobacter Infection|||https://www.cdc.gov/HAI/organisms/acinetobacter.html
Acquired Immune Deficiency Syndrome (AIDS) — see HIV/AIDS|||https://www.cdc.gov/hiv/
Acquired Immunodeficiency Syndrome (AIDS) — see HIV/AIDS|||https://www.cdc.gov/hiv/
Adenovirus Infection|||https://www.cdc.gov/adenovirus/index.html
Adenovirus Vaccination|||https://www.cdc.gov/vaccines/hcp/vis/index.html
ADHD [Attention Deficit/Hyperactivity Disorder]|||https://www.cdc.gov/ncbddd/adhd/
Adult Vaccinations|||https://www.cdc.gov/vaccines/adults/index.html
Adverse Childhood Experiences (ACE)|||https://www.cdc.gov/nccdphp/ace/
AFib, AF (Atrial fibrillation)|||https://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_atrial_fibrillation.htm
African Trypanosomiasis — see Sleeping Sickness|||https://www.cdc.gov/parasites/sleepingsickness/
Agricultural Safety — see Farm Worker Injuries|||https://www.cdc.gov/niosh/topics/aginjury/
AHF (Alkhurma hemorrhagic fever)|||https://www.cdc.gov/vhf/alkhurma/
AIDS (Acquired Immune Deficiency Syndrome)|||https://www.cdc.gov/hiv/
AIDS (Acquired Immunodeficiency Syndrome)|||https://www.cdc.gov/hiv/
Alkhurma hemorrhagic fever (AHF)|||https://www.cdc.gov/vhf/alkhurma/
ALS [Amyotrophic Lateral Sclerosis]|||https://wwwn.cdc.gov/als/
Alzheimer's Disease|||https://www.cdc.gov/aging/aginginfo/alzheimers.htm
Amebiasis, Intestinal [Entamoeba histolytica infection]|||https://www.cdc.gov/parasites/amebiasis/
American Indian and Alaska Native Vaccination|||https://www.cdc.gov/features/aianflu/
American Trypanosomiasis — see Chagas Disease|||https://www.cdc.gov/parasites/chagas/
Amphibians and Fish, Infections from — see Fish and Amphibians, Infections from|||https://www.cdc.gov/healthypets/pets/fish.html
Amyotrophic Lateral Sclerosis — see ALS|||https://wwwn.cdc.gov/als/
Anaplasmosis, Human|||https://www.cdc.gov/anaplasmosis/
Ancylostoma duodenale Infection, Necator americanus Infection — see Human Hookworm|||https://www.cdc.gov/parasites/hookworm
Angiostrongylus Infection|||https://www.cdc.gov/parasites/angiostrongylus/
Animal-Related Diseases|||https://www.cdc.gov/healthypets/
